02272; ;FØTEX SØNDERBORG;PERLEGADE 81;6400;SØNDERBORG;74183000;370;DIVERSE;5790000082919
02273; ;FØTEX STORCENTER NORD;FINLANDSGADE 17-19;8200;AARHUS N;87393000;370;DIVERSE;5790000083053
02274; ;FØTEX DYTMÆRSKEN RANDERS;DYTMÆRSKEN 14;8900;RANDERS C;87128000;370;DIVERSE;5790000083190
02275; ;FØTEX NØRREBRO;MIMERSGADE 124;2200;KØBENHAVN N;35864000;370;DIVERSE;5790000083329
02276; ;FØTEX HUSUM;FREDERIKSSUNDSVEJ 284-290;2700;BRØNSHØJ;38270000;370;DIVERSE;5790000083503
02277; ;FØTEX GLOSTRUP;GLOSTRUP SHOPPINGC.50;2600;GLOSTRUP;43285000;370;DIVERSE;5790000083640
02278; ;FØTEX WINDF.HANSENS CENT.;WINDFELD HANSENS GADE 1;7100;VEJLE;79716000;370;DIVERSE;5790000083770
02279; ;FØTEX NYBORG;VESTERGADE 32;5800;NYBORG;63239000;370;DIVERSE;5790000083909
02280;;FØTEX KOKKEDAL;EGEVANGEN 4;2980;KOKKEDAL;49158000;370;DIVERSE;5790002112270
02281; ;FØTEX CITY 2,TÅSTRUP;CITY 2;2630;TAASTRUP;43329000;370;DIVERSE;5790001247133
02282; ;FØTEX NØRRESUNDBY;VESTERGADE 30;9400;NØRRESUNDBY;99325000;370;DIVERSE;5790001551025
02283; ;FØTEX ØSTERBRO CENTRET;LYNGBYVEJ 11;2100;KØBENHAVN Ø;39142000;370;DIVERSE;5790001552329
02284; ;FØTEX NÆSTVED;FEJØVEJ 9;4700;NÆSTVED;55784000;370;DIVERSE;5790001551155
02285; ;FØTEX THISTED;STOREGADE 2 - 6;7700;THISTED;96885000;370;DIVERSE;5790001551292
02286; ;FØTEX HOLBÆK;SMEDELUNDSGADE 33;4300;HOLBÆK;59483000;370;DIVERSE;5790001555474
02287; ;FØTEX ØLBY CENTRET;ØLBYCENTER 22-24;4600;KØGE;56642000;370;DIVERSE;5790000093625
02288; ;FØTEX HILLERØD;SLANGERUPGADE 50;3400;HILLERØD;48773000;370;DIVERSE;5790001235307
02289; ;FØTEX HADERSLEV;BREDGADE 12;6100;HADERSLEV;74225000;370;DIVERSE;5790001073848
02290; ;FØTEX ROSENGÅRDCENTRET;ØRBÆKVEJ 75;5220;ODENSE SØ;65583000;370;DIVERSE;5790001246075
02291; ;FØTEX FREDERIKSBERG;FALKONER ALLE 21 LM 1040;2000;FREDERIKSBERG;38169000;370;DIVERSE;5790000084043
02292; ;FØTEX ROSKILDE;STATIONSCENTRET 12;4000;ROSKILDE;46381000;370;DIVERSE;5790000075768
02293; ;FØTEX HELSINGØR;STüRUPS PLADS 1;3000;HELSINGØR;49258000;370;DIVERSE;5790000075911
02294; ;FØTEX FREDERIKSHAVN;RÅDHUS ALLE 83;9900;FREDERIKSHAVN;96223000;370;DIVERSE;5790000076666
02295; ;FØTEX VARDE;RINGKØBINGVEJ 1;6800;VARDE;76952000;370;DIVERSE;5790000078721
02296; ;FØTEX FOOD SKÆRING;SKÆRING PARKVEJ 1;8250;EGÅ;87435000;370;DIVERSE;5790000087570
02297; ;FØTEX AALBORG ØST;NIELS BOHRSVEJ 44;9220;AALBORG ØST;96356000;370;DIVERSE;5790000088133
02298; ;FØTEX HERLEV;HERLEV BYGADE 9;2730;HERLEV;44547000;370;DIVERSE;5790000088263
02299; ;FØTEX KORSØR;HAVNEGADE 10-16;4220;KORSØR;58311000;370;DIVERSE;5790000088393
05251; ;BILKA TILST;AGERØVEJ 7;8381;TILST;87455000;370;DIVERSE;5790000088515
05252; ;BILKA SKALBORG;HOBROVEJ 450;9200;AALBORG SV;98797000;370;DIVERSE;5790000088713
05253; ;BILKA HUNDIGE;OVER BØLGEN 1;2670;GREVE;43955000;370;DIVERSE;5790000088928
05254; ;BILKA ODENSE;NIELS BOHRS ALLE 150;5230;ODENSE M;63906000;370;DIVERSE;5790000089116
05255; ;BILKA ISHØJ;ISHØJ LILLE TORV 1;2635;ISHØJ;43571000;370;DIVERSE;5790000089314
05256; ;BILKA SLAGELSE;IDAGÅRDSVEJ 1;4200;SLAGELSE;58566000;370;DIVERSE;5790000089529
05257; ;BILKA NÆSTVED;HOLSTED ALLE 3;4700;NÆSTVED;55789000;370;DIVERSE;5790000089727
05258; ;BILKA HOLSTEBRO;NYHOLMVEJ 20;7500;HOLSTEBRO;96123000;370;DIVERSE;5790000090020
05259; ;BILKA ESBJERG;STORMGADE 157;6715;ESBJERG N;79146000;370;DIVERSE;5790000090914
05261; ;BILKA VEJLE;SOLKILDEALLE 2;7100;VEJLE;76416000;370;DIVERSE;5790000090426
05262; ;BILKA KOLDING;SKOVVANGEN 40 - 42;6000;KOLDING;76346000;370;DIVERSE;5790000090624
05263; ;BILKA HORSENS;HØEGH GULDBERGSGADE 10;8700;HORSENS;76283000;370;DIVERSE;5790000091690
05264; ;BILKA ONE STOP, FIELDS;ARNE JACOBSENS ALLé 24;2300;KØBENHAVN S;55788000;370;DIVERSE;5790001078768
05265; ;BILKA VIBORG;HOLSTEBROVEJ 79;8800;VIBORG;87274000;370;DIVERSE;5790001233594
05266; ;BILKA SØNDERBORG;GRUNDTVIGSALLE 195;6400;SØNDERBORG;73126000;370;DIVERSE;5790001559717
05267; ;BILKA HERNING;GOLFVEJ 5;7400;HERNING;96272000;370;DIVERSE;5790001553548
05268; ;BILKA HILLERØD;SLOTSARKADERNE 26;3400;HILLERØD;48772000;370;DIVERSE;5790001886523
05271; ;A-Z HJØRRING;A.F.HEIDEMANNSVEJ 20;9800;HJØRRING;99235000;370;DIVERSE;5790001568306
05801; ;BILKA DK;LOGISTIKPARKEN 1 PORT B21;8220;BRABRAND;87783000;370;DIVERSE;5790001556020
08795; ;DSN.LAGER;AXEL GRUHNSVEJ 9 P.51-67;8270;HØJBJERG;89303544;370;DIVERSE;5790001080174
08796; ;DSN.LAGER II;AXEL GRUHNSVEJ 9 P.73-77;8270;HØJBJERG;86277307;370;DIVERSE;5790001231866
